Year,variable,death
1990,Lower.respiratory.infections,15892105.03
1990,Protein.energy.malnutrition,2389404.002
1990,Cardiovascular.diseases,57610001.94
1990,Alzheimer.disease.and.other.dementias,5023318.014
1990,Chronic.kidney.disease,2891292.675
1990,Chronic.respiratory.diseases,15488447.31
1990,Cirrhosis.and.other.chronic.liver.diseases,4284915.382
1990,Digestive.diseases,8144606.619
1990,Neoplasms,28159930.62
1990,Malaria,3263778.015
1990,Drowning,2480539.813
1990,Interpersonal.violence,1705554.754
1990,HIV.AIDS,1741437.123
1990,Tuberculosis,7323385.58
1990,Road.injuries,5452028.997
1990,Neonatal.disorders,13407464.31
1990,Diarrheal.diseases,11466820.14
1990,Nutritional.deficiencies,2638717.964
1990,Suicides,3598341.076
1990,Diabetes.mellitus,2905662.589
1991,Lower.respiratory.infections,15761710.11
1991,Protein.energy.malnutrition,2362553.866
1991,Cardiovascular.diseases,58434166.87
1991,Alzheimer.disease.and.other.dementias,5208242.467
1991,Chronic.kidney.disease,2945016.084
1991,Chronic.respiratory.diseases,15780021.93
1991,Cirrhosis.and.other.chronic.liver.diseases,4384803.865
1991,Digestive.diseases,8296175.621
1991,Neoplasms,28784011.9
1991,Malaria,3365593.143
1991,Drowning,2476117.409
1991,Interpersonal.violence,1764536.825
1991,HIV.AIDS,2208223.744
1991,Tuberculosis,7339895.205
1991,Road.injuries,5506695.955
1991,Neonatal.disorders,13301408.64
1991,Diarrheal.diseases,11389514.02
1991,Nutritional.deficiencies,2608677.106
1991,Suicides,3690374.141
1991,Diabetes.mellitus,2997766.787
1992,Lower.respiratory.infections,15615512.03
1992,Protein.energy.malnutrition,2323071.26
1992,Cardiovascular.diseases,59463396.49
1992,Alzheimer.disease.and.other.dementias,5379303.241
1992,Chronic.kidney.disease,3020250.241
1992,Chronic.respiratory.diseases,16057517.46
1992,Cirrhosis.and.other.chronic.liver.diseases,4480502.665
1992,Digestive.diseases,8439709.453
1992,Neoplasms,29406883.12
1992,Malaria,3458463.035
1992,Drowning,2480766.719
1992,Interpersonal.violence,1874797.024
1992,HIV.AIDS,2737834.455
1992,Tuberculosis,7399778.705
1992,Road.injuries,5610171.607
1992,Neonatal.disorders,13188306.41
1992,Diarrheal.diseases,11169124.57
1992,Nutritional.deficiencies,2567679.268
1992,Suicides,3825821.521
1992,Diabetes.mellitus,3103135.135
1993,Lower.respiratory.infections,15453585.02
1993,Protein.energy.malnutrition,2282317.56
1993,Cardiovascular.diseases,61239747.15
1993,Alzheimer.disease.and.other.dementias,5576329.879
1993,Chronic.kidney.disease,3089101.344
1993,Chronic.respiratory.diseases,16292848.01
1993,Cirrhosis.and.other.chronic.liver.diseases,4576892.819
1993,Digestive.diseases,8567843.058
1993,Neoplasms,30205425.5
1993,Malaria,3548027.275
1993,Drowning,2492428.983
1993,Interpersonal.violence,2027201.828
1993,HIV.AIDS,3312719.117
1993,Tuberculosis,7389026.155
1993,Road.injuries,5716360.693
1993,Neonatal.disorders,13041288.48
1993,Diarrheal.diseases,10962745.98
1993,Nutritional.deficiencies,2523094.057
1993,Suicides,3957832.845
1993,Diabetes.mellitus,3224945.192
1994,Lower.respiratory.infections,15240801.97
1994,Protein.energy.malnutrition,2253639.118
1994,Cardiovascular.diseases,62335632.21
1994,Alzheimer.disease.and.other.dementias,5745969.975
1994,Chronic.kidney.disease,3152980.777
1994,Chronic.respiratory.diseases,16468494.18
1994,Cirrhosis.and.other.chronic.liver.diseases,4662181.617
1994,Digestive.diseases,8673164.725
1994,Neoplasms,30778958.17
1994,Malaria,3615643.109
1994,Drowning,2477362.328
1994,Interpersonal.violence,2049865.188
1994,HIV.AIDS,3922854.267
1994,Tuberculosis,7381033.328
1994,Road.injuries,5815809.776
1994,Neonatal.disorders,12830257.27
1994,Diarrheal.diseases,10763838.22
1994,Nutritional.deficiencies,2491572.214
1994,Suicides,4051400.133
1994,Diabetes.mellitus,3334660.118
1995,Lower.respiratory.infections,15060985.25
1995,Protein.energy.malnutrition,2598479.829
1995,Cardiovascular.diseases,62855986.19
1995,Alzheimer.disease.and.other.dementias,5920168.343
1995,Chronic.kidney.disease,3220821.748
1995,Chronic.respiratory.diseases,16565470.6
1995,Cirrhosis.and.other.chronic.liver.diseases,4742923.753
1995,Digestive.diseases,8770047.904
1995,Neoplasms,31312990.6
1995,Malaria,3705784.935
1995,Drowning,2448190.084
1995,Interpersonal.violence,2066550.44
1995,HIV.AIDS,4545892.288
1995,Tuberculosis,7348594.501
1995,Road.injuries,5894729.891
1995,Neonatal.disorders,12668421.86
1995,Diarrheal.diseases,10545251.09
1995,Nutritional.deficiencies,2833311.9
1995,Suicides,4088340.874
1995,Diabetes.mellitus,3449212.567
1996,Lower.respiratory.infections,14819721.96
1996,Protein.energy.malnutrition,2522632.558
1996,Cardiovascular.diseases,63009755.61
1996,Alzheimer.disease.and.other.dementias,6076580.508
1996,Chronic.kidney.disease,3288853.349
1996,Chronic.respiratory.diseases,16669207.18
1996,Cirrhosis.and.other.chronic.liver.diseases,4791903.689
1996,Digestive.diseases,8823726.93
1996,Neoplasms,31667599.53
1996,Malaria,3784780.408
1996,Drowning,2380990.454
1996,Interpersonal.violence,2043000.029
1996,HIV.AIDS,5108940.191
1996,Tuberculosis,7304161.012
1996,Road.injuries,5896284.106
1996,Neonatal.disorders,12473073.43
1996,Diarrheal.diseases,10269818.35
1996,Nutritional.deficiencies,2749528.486
1996,Suicides,4030604.067
1996,Diabetes.mellitus,3566143.683
1997,Lower.respiratory.infections,14645465.98
1997,Protein.energy.malnutrition,2465485.746
1997,Cardiovascular.diseases,63338392.52
1997,Alzheimer.disease.and.other.dementias,6235346.651
1997,Chronic.kidney.disease,3380264.333
1997,Chronic.respiratory.diseases,16860141.52
1997,Cirrhosis.and.other.chronic.liver.diseases,4844729.643
1997,Digestive.diseases,8898936.422
1997,Neoplasms,32029967.92
1997,Malaria,3884975.17
1997,Drowning,2319406.42
1997,Interpersonal.violence,2034256.264
1997,HIV.AIDS,5628166.736
1997,Tuberculosis,7366526.121
1997,Road.injuries,5914259.638
1997,Neonatal.disorders,12369301.68
1997,Diarrheal.diseases,10072071.62
1997,Nutritional.deficiencies,2689842.475
1997,Suicides,3993047.834
1997,Diabetes.mellitus,3692777.05
1998,Lower.respiratory.infections,14435141.95
1998,Protein.energy.malnutrition,2406871.595
1998,Cardiovascular.diseases,63804339.24
1998,Alzheimer.disease.and.other.dementias,6413547.366
1998,Chronic.kidney.disease,3474140.836
1998,Chronic.respiratory.diseases,16976090.05
1998,Cirrhosis.and.other.chronic.liver.diseases,4886581.98
1998,Digestive.diseases,8963766.189
1998,Neoplasms,32546743.64
1998,Malaria,3983861.494
1998,Drowning,2253506.405
1998,Interpersonal.violence,2051002.077
1998,HIV.AIDS,6237990
1998,Tuberculosis,7386358.135
1998,Road.injuries,5931114.608
1998,Neonatal.disorders,12257552.1
1998,Diarrheal.diseases,9911439.964
1998,Nutritional.deficiencies,2627838.762
1998,Suicides,3969325.328
1998,Diabetes.mellitus,3812146.472
1999,Lower.respiratory.infections,14169804.65
1999,Protein.energy.malnutrition,2355170.621
1999,Cardiovascular.diseases,64875596.5
1999,Alzheimer.disease.and.other.dementias,6608607.561
1999,Chronic.kidney.disease,3566423.323
1999,Chronic.respiratory.diseases,16821984.15
1999,Cirrhosis.and.other.chronic.liver.diseases,4939491.531
1999,Digestive.diseases,9039479.674
1999,Neoplasms,33184100.79
1999,Malaria,4076873.876
1999,Drowning,2184791.446
1999,Interpersonal.violence,2099224.991
1999,HIV.AIDS,6907563.305
1999,Tuberculosis,7369661.352
1999,Road.injuries,6000735.646
1999,Neonatal.disorders,12097956.78
1999,Diarrheal.diseases,9701447.38
1999,Nutritional.deficiencies,2570486.668
1999,Suicides,3978743.009
1999,Diabetes.mellitus,3930771.671
2000,Lower.respiratory.infections,13912048.92
2000,Protein.energy.malnutrition,2315000.187
2000,Cardiovascular.diseases,65815763.42
2000,Alzheimer.disease.and.other.dementias,6793227.39
2000,Chronic.kidney.disease,3660382.499
2000,Chronic.respiratory.diseases,16727799.88
2000,Cirrhosis.and.other.chronic.liver.diseases,4998869.182
2000,Digestive.diseases,9119331.704
2000,Neoplasms,33715161.11
2000,Malaria,4162985.667
2000,Drowning,2125923.267
2000,Interpersonal.violence,2151477.14
2000,HIV.AIDS,7569339.02
2000,Tuberculosis,7366569.919
2000,Road.injuries,6052314.284
2000,Neonatal.disorders,11935029.6
2000,Diarrheal.diseases,9505689.532
2000,Nutritional.deficiencies,2528438.511
2000,Suicides,3931351.763
2000,Diabetes.mellitus,4047823.789
2001,Lower.respiratory.infections,13615256.9
2001,Protein.energy.malnutrition,2241183.731
2001,Cardiovascular.diseases,66599508.89
2001,Alzheimer.disease.and.other.dementias,6997828.394
2001,Chronic.kidney.disease,3741481.196
2001,Chronic.respiratory.diseases,16599995.03
2001,Cirrhosis.and.other.chronic.liver.diseases,5063375.763
2001,Digestive.diseases,9206429.352
2001,Neoplasms,34183231.35
2001,Malaria,4328589.621
2001,Drowning,2041396.258
2001,Interpersonal.violence,2127493.231
2001,HIV.AIDS,8110085.277
2001,Tuberculosis,7255872.184
2001,Road.injuries,6018342.437
2001,Neonatal.disorders,11747477.17
2001,Diarrheal.diseases,9278464.912
2001,Nutritional.deficiencies,2446957.331
2001,Suicides,3801947.649
2001,Diabetes.mellitus,4165417.439
2002,Lower.respiratory.infections,13376458.97
2002,Protein.energy.malnutrition,2168435.668
2002,Cardiovascular.diseases,67937297.66
2002,Alzheimer.disease.and.other.dementias,7231585.934
2002,Chronic.kidney.disease,3845084.356
2002,Chronic.respiratory.diseases,16555023.3
2002,Cirrhosis.and.other.chronic.liver.diseases,5135348.479
2002,Digestive.diseases,9310164.479
2002,Neoplasms,34808768.07
2002,Malaria,4462066.975
2002,Drowning,1939246.45
2002,Interpersonal.violence,2163885.837
2002,HIV.AIDS,8620134.073
2002,Tuberculosis,7134257.644
2002,Road.injuries,6015090.092
2002,Neonatal.disorders,11562691.22
2002,Diarrheal.diseases,9060053.626
2002,Nutritional.deficiencies,2366802.139
2002,Suicides,3742638.467
2002,Diabetes.mellitus,4313488.098
2003,Lower.respiratory.infections,13181989.77
2003,Protein.energy.malnutrition,1709050.031
2003,Cardiovascular.diseases,69115052.83
2003,Alzheimer.disease.and.other.dementias,7467925.462
2003,Chronic.kidney.disease,3951911.907
2003,Chronic.respiratory.diseases,16490592.6
2003,Cirrhosis.and.other.chronic.liver.diseases,5212135.989
2003,Digestive.diseases,9419002.067
2003,Neoplasms,35454762.74
2003,Malaria,4578233.204
2003,Drowning,1842521.6
2003,Interpersonal.violence,2084739.256
2003,HIV.AIDS,9065348.598
2003,Tuberculosis,6971978.731
2003,Road.injuries,5979377.962
2003,Neonatal.disorders,11419481.92
2003,Diarrheal.diseases,8856166.103
2003,Nutritional.deficiencies,1901702.362
2003,Suicides,3752062.12
2003,Diabetes.mellitus,4455114.162
2004,Lower.respiratory.infections,12946643.36
2004,Protein.energy.malnutrition,1646526.969
2004,Cardiovascular.diseases,69137772.61
2004,Alzheimer.disease.and.other.dementias,7647037.645
2004,Chronic.kidney.disease,4016158.614
2004,Chronic.respiratory.diseases,16158495.61
2004,Cirrhosis.and.other.chronic.liver.diseases,5267495.63
2004,Digestive.diseases,9489068.399
2004,Neoplasms,35786141.16
2004,Malaria,4581239.344
2004,Drowning,1802791.955
2004,Interpersonal.violence,2056531.055
2004,HIV.AIDS,9378980.818
