Year,variable,value
1990,Lower.respiratory.infections,3415941.251
1991,Lower.respiratory.infections,3387085.897
1992,Lower.respiratory.infections,3354598.739
1993,Lower.respiratory.infections,3316736.933
1994,Lower.respiratory.infections,3269525.527
1995,Lower.respiratory.infections,3228872.229
1996,Lower.respiratory.infections,3174942.504
1997,Lower.respiratory.infections,3137364.244
1998,Lower.respiratory.infections,3090783.064
1999,Lower.respiratory.infections,3031894.116
2000,Lower.respiratory.infections,2976685.133
2001,Lower.respiratory.infections,2914161.52
2002,Lower.respiratory.infections,2861260.276
2003,Lower.respiratory.infections,2818023.759
2004,Lower.respiratory.infections,2766652.546
2005,Lower.respiratory.infections,2735776.734
2006,Lower.respiratory.infections,2700150.775
2007,Lower.respiratory.infections,2673539.719
2008,Lower.respiratory.infections,2657274.865
2009,Lower.respiratory.infections,2639561.697
2010,Lower.respiratory.infections,2623649.325
2011,Lower.respiratory.infections,2616651.133
2012,Lower.respiratory.infections,2605153.543
2013,Lower.respiratory.infections,2590482.267
2014,Lower.respiratory.infections,2579537.75
2015,Lower.respiratory.infections,2582198.939
1990,Protein.energy.malnutrition,511854.7229
1991,Protein.energy.malnutrition,505260.4384
1992,Protein.energy.malnutrition,496215.1057
1993,Protein.energy.malnutrition,486659.295
1994,Protein.energy.malnutrition,480181.8144
1995,Protein.energy.malnutrition,548711.9524
1996,Protein.energy.malnutrition,531953.4618
1997,Protein.energy.malnutrition,519168.7893
1998,Protein.energy.malnutrition,506173.1728
1999,Protein.energy.malnutrition,494700.5364
2000,Protein.energy.malnutrition,485908.5137
2001,Protein.energy.malnutrition,469915.0885
2002,Protein.energy.malnutrition,454062.0314
2003,Protein.energy.malnutrition,360358.8798
2004,Protein.energy.malnutrition,346804.5217
2005,Protein.energy.malnutrition,334398.1112
2006,Protein.energy.malnutrition,323732.6416
2007,Protein.energy.malnutrition,313453.7926
2008,Protein.energy.malnutrition,304321.8849
2009,Protein.energy.malnutrition,297263.5616
2010,Protein.energy.malnutrition,299956.0527
2011,Protein.energy.malnutrition,288907.1418
2012,Protein.energy.malnutrition,269574.0843
2013,Protein.energy.malnutrition,259203.0236
2014,Protein.energy.malnutrition,250311.8308
2015,Protein.energy.malnutrition,243750.5989
1990,Cardiovascular.diseases,11941533.32
1991,Cardiovascular.diseases,12118293.12
1992,Cardiovascular.diseases,12337835.94
1993,Cardiovascular.diseases,12699753.54
1994,Cardiovascular.diseases,12929774.85
1995,Cardiovascular.diseases,13041558.9
1996,Cardiovascular.diseases,13085432.7
1997,Cardiovascular.diseases,13178040.42
1998,Cardiovascular.diseases,13281787.72
1999,Cardiovascular.diseases,13499184.4
2000,Cardiovascular.diseases,13698711.84
2001,Cardiovascular.diseases,13870332.32
2002,Cardiovascular.diseases,14150328.1
2003,Cardiovascular.diseases,14396608.97
2004,Cardiovascular.diseases,14404858.49
2005,Cardiovascular.diseases,14607808.95
2006,Cardiovascular.diseases,14551012.89
2007,Cardiovascular.diseases,14687670.81
2008,Cardiovascular.diseases,15008284.23
2009,Cardiovascular.diseases,15274314.39
2010,Cardiovascular.diseases,15619617.48
2011,Cardiovascular.diseases,15859735.27
