generation,year,suicide rate
Boomers,1990,12.36
Boomers,1991,13.52
Boomers,1992,14.11
Boomers,1993,14.69
Boomers,1994,14.30
Boomers,1995,18.57
Boomers,1996,18.38
Boomers,1997,17.65
Boomers,1998,17.88
Boomers,1999,17.41
Boomers,2000,16.44
Boomers,2001,16.43
Boomers,2002,16.23
Boomers,2003,16.08
Boomers,2004,15.01
Boomers,2005,14.35
Boomers,2006,14.06
Boomers,2007,13.75
Boomers,2008,14.42
Boomers,2009,14.08
Boomers,2011,13.77
Boomers,2012,14.35
Boomers,2013,14.36
Boomers,2014,13.77
Boomers,2015,14.45
G.I. Generation,1990,20.60
G.I. Generation,1991,26.68
G.I. Generation,1992,25.91
G.I. Generation,1993,26.24
G.I. Generation,1994,28.47
G.I. Generation,1995,30.19
G.I. Generation,1996,28.09
G.I. Generation,1997,27.65
G.I. Generation,1998,27.45
G.I. Generation,1999,25.83
G.I. Generation,2000,25.94
Generation X,1990,4.82
Generation X,1991,9.91
Generation X,1992,9.19
Generation X,1993,9.33
Generation X,1994,9.49
Generation X,1995,12.54
Generation X,1996,12.49
Generation X,1997,12.49
Generation X,1998,12.20
Generation X,1999,12.45
Generation X,2000,11.60
Generation X,2001,13.21
Generation X,2002,13.27
Generation X,2003,12.47
Generation X,2004,11.91
Generation X,2005,11.73
Generation X,2006,10.97
Generation X,2007,11.97
Generation X,2008,11.26
Generation X,2009,11.00
Generation X,2010,12.23
Generation X,2011,13.30
Generation X,2012,13.67
Generation X,2013,13.25
Generation X,2014,12.66
Generation X,2015,12.56
Generation Z,2007,0.65
Generation Z,2008,0.62
Generation Z,2009,0.60
Generation Z,2010,0.65
Generation Z,2011,0.64
Generation Z,2012,0.64
Generation Z,2013,0.66
Generation Z,2014,0.64
Generation Z,2015,0.70
Millenials,1991,0.57
Millenials,1992,0.58
Millenials,1993,0.78
Millenials,1994,0.63
Millenials,1995,0.60
Millenials,1996,0.74
Millenials,1997,0.64
Millenials,1998,0.73
Millenials,1999,0.66
Millenials,2000,0.53
Millenials,2001,4.90
Millenials,2002,5.09
Millenials,2003,4.82
Millenials,2004,4.65
Millenials,2005,4.49
Millenials,2006,4.56
Millenials,2007,8.25
Millenials,2008,8.39
Millenials,2009,8.03
Millenials,2010,7.97
Millenials,2011,9.52
Millenials,2012,9.57
Millenials,2013,9.49
Millenials,2014,9.20
Millenials,2015,8.94
Silent,1990,13.98
Silent,1991,16.44
Silent,1992,17.10
Silent,1993,17.26
Silent,1994,17.25
Silent,1995,19.53
Silent,1996,19.64
Silent,1997,18.81
Silent,1998,19.10
Silent,1999,18.39
Silent,2000,17.53
Silent,2001,20.84
Silent,2002,21.52
Silent,2003,20.52
Silent,2004,19.33
Silent,2005,18.68
Silent,2006,18.71
Silent,2007,18.77
Silent,2008,18.37
Silent,2009,17.35
Silent,2010,17.11
Silent,2011,19.35
Silent,2012,20.72
Silent,2013,19.39
Silent,2014,20.59
Silent,2015,20.97
