,Country,Suicide_Rate
1,Afghanistan,288.5545845
2,Albania,137.5019062
3,Algeria,129.755479
4,American Samoa,185.7218807
5,Andean Latin America,164.4040813
6,Andorra,260.5646791
7,Angola,407.6111114
8,Antigua and Barbuda,73.53051606
9,Argentina,315.8291052
10,Armenia,164.8645178
11,Australasia,330.5814834
12,Australia,325.4613276
13,Austria,418.9515267
14,Azerbaijan,107.6122624
15,Bahamas,88.2402963
16,Bahrain,170.5410972
17,Bangladesh,222.9333265
18,Barbados,124.9233173
19,Belarus,805.0699905
20,Belgium,476.1923608
21,Belize,217.7855333
22,Benin,326.1762
23,Bermuda,116.5052227
24,Bhutan,192.9108188
25,Bolivia,211.527202
26,Bosnia and Herzegovina,231.0767072
27,Botswana,353.2582954
28,Brazil,177.7447108
29,Brunei,136.3751533
30,Bulgaria,361.7539831
31,Burkina Faso,367.6656382
32,Burundi,458.4329549
33,Cambodia,152.7365055
34,Cameroon,424.3349768
35,Canada,335.7608933
36,Cape Verde,445.0318639
37,Caribbean,297.845685
38,Central African Republic,489.3314282
39,Central Asia,379.8992532
40,Central Europe,404.0606893
41,"Central Europe, Eastern Europe, and Central Asia",686.191457
42,Central Latin America,175.0705672
43,Central Sub-Saharan Africa,358.1145494
44,Chad,302.580052
45,Chile,382.6305695
46,China,368.9316887
47,Colombia,166.4864369
48,Comoros,255.0105314
49,Congo,440.7439017
50,Costa Rica,201.4048082
51,Cote d'Ivoire,420.0508966
52,Croatia,441.4303929
53,Cuba,400.6527883
54,Cyprus,132.8306911
55,Czechia,387.5060107
56,Democratic Republic of Congo,330.542333
57,Denmark,374.9913173
58,Djibouti,259.5673993
59,Dominica,121.5648992
60,Dominican Republic,203.7768267
61,East Asia,368.5431486
62,Eastern Europe,925.7585777
63,Eastern Sub-Saharan Africa,377.8141564
64,Ecuador,237.5876948
65,Egypt,148.3606093
66,El Salvador,290.8163736
67,England,211.9858005
68,Equatorial Guinea,338.4814021
69,Eritrea,537.9492898
70,Estonia,665.2941529
71,Eswatini,697.383255
72,Ethiopia,398.5228419
73,Fiji,285.3368814
74,Finland,535.233324
75,France,469.8769308
